id_client,date_consultation,origine_agence,canal
180301SANCH,2025-06-19,SOF,Web
280293MARIO,2025-06-19,SOF,Téléphone
180397BESSO,2025-06-19,CA,Téléphone
100399GONZA,2025-06-19,SOF,Agence
060378CHEVA,2025-06-19,CA,Web
180795PEREZ,2025-06-19,LCL,Téléphone
030867ROLLA,2025-06-19,SOF,Téléphone
110274LÉGER,2025-06-19,SOF,Agence
140801BRIAN,2025-06-19,SOF,Web
180602THIBA,2025-06-19,LCL,Téléphone
020394LE GA,2025-06-19,SOF,Web
240373RODRI,2025-06-19,SOF,Téléphone
270376BERTH,2025-06-19,CA,Téléphone
210573LANGL,2025-06-19,LCL,Agence
111074BERTR,2025-06-19,SOF,Agence
030987REYNA,2025-06-19,SOF,Agence
290869PASQU,2025-06-19,CA,Agence
061070MEUNI,2025-06-19,CA,Téléphone
180970BONNE,2025-06-19,SOF,Téléphone
021291GILLE,2025-06-19,LCL,Web
120585CLÉME,2025-06-19,LCL,Téléphone
191000HARDY,2025-06-19,LCL,Téléphone
110601BERGE,2025-06-19,LCL,Web
310197VALET,2025-06-19,CA,Agence
010501PIERR,2025-06-19,CA,Téléphone
100370OLIVI,2025-06-19,SOF,Téléphone
160196ROCHE,2025-06-19,CA,Téléphone
131103RODRI,2025-06-19,LCL,Web
010675RIBEI,2025-06-19,LCL,Agence
271004BERTH,2025-06-19,SOF,Agence
200695BLOND,2025-06-19,LCL,Téléphone
080294TORRE,2025-06-19,LCL,Téléphone
281102HUET,2025-06-19,LCL,Web
220606COHEN,2025-06-19,CA,Téléphone
060304SAMSO,2025-06-19,LCL,Téléphone
220703SIMON,2025-06-19,CA,Agence
120184BIGOT,2025-06-19,SOF,Web
281069ROCHE,2025-06-19,CA,Agence
100602BUISS,2025-06-19,CA,Téléphone
280597SAUVA,2025-06-19,SOF,Téléphone
230804CARRE,2025-06-19,LCL,Web
181083RICHA,2025-06-19,CA,Web
210201PELLE,2025-06-19,CA,Téléphone
060274RENAU,2025-06-19,LCL,Web
221168MARY,2025-06-19,CA,Agence
060803LEGRA,2025-06-19,CA,Web
230699LOPEZ,2025-06-19,LCL,Téléphone
020703VINCE,2025-06-19,SOF,Agence
090371BUISS,2025-06-19,CA,Téléphone
280496LÉVY,2025-06-19,CA,Téléphone
081089HUBER,2025-06-19,LCL,Agence
111199BOUCH,2025-06-19,SOF,Web
051093PETIT,2025-06-19,SOF,Agence
241071CHEVA,2025-06-19,SOF,Web
220870PELLE,2025-06-19,SOF,Agence
290991GODAR,2025-06-19,LCL,Téléphone
060800AUBER,2025-06-19,CA,Agence
080871FISCH,2025-06-19,LCL,Téléphone
080373BOUTI,2025-06-19,SOF,Web
310764BOUSQ,2025-06-19,SOF,Téléphone
221073MAHE,2025-06-19,SOF,Téléphone
271291MOULI,2025-06-19,CA,Téléphone
020183LÉVY,2025-06-19,LCL,Agence
230269BOUCH,2025-06-19,CA,Téléphone
130171LEROY,2025-06-19,LCL,Agence
300764BOUVI,2025-06-19,LCL,Téléphone
100872LEMAÎ,2025-06-19,CA,Téléphone
010703ANDRE,2025-06-19,CA,Téléphone
010203REYNA,2025-06-19,LCL,Téléphone
210669LÉVY,2025-06-19,CA,Web
020682FERNA,2025-06-19,CA,Agence
110491BODIN,2025-06-19,SOF,Web
020381DUBOI,2025-06-19,SOF,Téléphone
020285BRUNE,2025-06-19,CA,Agence
261075PAUL,2025-06-19,CA,Téléphone
270300GAUTI,2025-06-19,LCL,Téléphone
