id_client,date_envoi_surveillance,date_envoi_inscription,type_courrier,fic_type,origine_agence
180301SANCH,2025-05-11,,surveillance,FIC4,SOF
180301SANCH,,2025-06-16,inscription,FIC1,SOF
280293MARIO,2025-05-15,,surveillance,FIC4,CA
280293MARIO,,2025-06-21,inscription,FIC4,LCL
180397BESSO,2025-05-15,,surveillance,FIC3,LCL
180397BESSO,,2025-06-21,inscription,FIC2,SOF
100399GONZA,2025-05-13,,surveillance,FIC3,LCL
060378CHEVA,2025-05-17,,surveillance,FIC3,SOF
180795PEREZ,2025-05-13,,surveillance,FIC2,CA
030867ROLLA,2025-05-16,,surveillance,FIC3,SOF
110274LÉGER,2025-05-17,,surveillance,FIC2,CA
110274LÉGER,,2025-06-19,inscription,FIC4,CA
140801BRIAN,2025-05-05,,surveillance,FIC3,LCL
180602THIBA,2025-05-15,,surveillance,FIC1,SOF
020394LE GA,2025-05-07,,surveillance,FIC4,SOF
020394LE GA,,2025-06-11,inscription,FIC2,SOF
240373RODRI,2025-05-08,,surveillance,FIC3,LCL
240373RODRI,,2025-06-09,inscription,FIC3,CA
270376BERTH,2025-05-11,,surveillance,FIC4,LCL
270376BERTH,,2025-06-16,inscription,FIC3,CA
210573LANGL,2025-05-11,,surveillance,FIC2,LCL
111074BERTR,2025-05-13,,surveillance,FIC4,LCL
111074BERTR,,2025-06-18,inscription,FIC2,SOF
030987REYNA,2025-05-11,,surveillance,FIC4,SOF
290869PASQU,2025-05-07,,surveillance,FIC4,SOF
061070MEUNI,2025-05-19,,surveillance,FIC2,CA
061070MEUNI,,2025-06-21,inscription,FIC1,SOF
180970BONNE,2025-05-06,,surveillance,FIC1,SOF
180970BONNE,,2025-06-11,inscription,FIC4,SOF
021291GILLE,2025-05-06,,surveillance,FIC2,LCL
021291GILLE,,2025-06-07,inscription,FIC3,SOF
120585CLÉME,2025-05-11,,surveillance,FIC3,CA
120585CLÉME,,2025-06-16,inscription,FIC3,LCL
191000HARDY,2025-05-12,,surveillance,FIC4,LCL
191000HARDY,,2025-06-12,inscription,FIC4,LCL
110601BERGE,2025-05-17,,surveillance,FIC1,CA
310197VALET,2025-05-14,,surveillance,FIC3,LCL
310197VALET,,2025-06-14,inscription,FIC1,CA
010501PIERR,2025-05-18,,surveillance,FIC4,LCL
010501PIERR,,2025-06-23,inscription,FIC4,SOF
100370OLIVI,2025-05-16,,surveillance,FIC1,SOF
100370OLIVI,,2025-06-16,inscription,FIC3,SOF
160196ROCHE,2025-05-07,,surveillance,FIC3,CA
131103RODRI,2025-05-16,,surveillance,FIC3,CA
010675RIBEI,2025-05-09,,surveillance,FIC2,SOF
010675RIBEI,,2025-06-09,inscription,FIC1,SOF
271004BERTH,2025-05-08,,surveillance,FIC3,CA
271004BERTH,,2025-06-11,inscription,FIC4,CA
200695BLOND,2025-05-08,,surveillance,FIC4,CA
080294TORRE,2025-05-09,,surveillance,FIC2,LCL
281102HUET,2025-05-09,,surveillance,FIC2,LCL
220606COHEN,2025-05-09,,surveillance,FIC3,SOF
220606COHEN,,2025-06-15,inscription,FIC2,CA
060304SAMSO,2025-05-09,,surveillance,FIC3,LCL
060304SAMSO,,2025-06-09,inscription,FIC3,LCL
220703SIMON,2025-05-17,,surveillance,FIC3,LCL
120184BIGOT,2025-05-15,,surveillance,FIC1,CA
281069ROCHE,2025-05-10,,surveillance,FIC1,CA
100602BUISS,2025-05-10,,surveillance,FIC2,CA
280597SAUVA,2025-05-12,,surveillance,FIC2,LCL
230804CARRE,2025-05-16,,surveillance,FIC2,SOF
181083RICHA,2025-05-13,,surveillance,FIC4,LCL
181083RICHA,,2025-06-18,inscription,FIC1,CA
210201PELLE,2025-05-10,,surveillance,FIC4,LCL
060274RENAU,2025-05-19,,surveillance,FIC2,LCL
060274RENAU,,2025-06-21,inscription,FIC2,SOF
221168MARY,2025-05-15,,surveillance,FIC4,LCL
060803LEGRA,2025-05-20,,surveillance,FIC3,LCL
230699LOPEZ,2025-05-15,,surveillance,FIC3,CA
230699LOPEZ,,2025-06-20,inscription,FIC4,SOF
020703VINCE,2025-05-10,,surveillance,FIC1,SOF
090371BUISS,2025-05-12,,surveillance,FIC4,LCL
090371BUISS,,2025-06-16,inscription,FIC2,CA
280496LÉVY,2025-05-18,,surveillance,FIC4,LCL
280496LÉVY,,2025-06-21,inscription,FIC3,SOF
081089HUBER,2025-05-18,,surveillance,FIC4,CA
111199BOUCH,2025-05-20,,surveillance,FIC2,LCL
111199BOUCH,,2025-06-26,inscription,FIC1,CA
051093PETIT,2025-05-19,,surveillance,FIC4,CA
241071CHEVA,2025-05-09,,surveillance,FIC2,CA
241071CHEVA,,2025-06-09,inscription,FIC3,SOF
220870PELLE,2025-05-08,,surveillance,FIC3,CA
220870PELLE,,2025-06-09,inscription,FIC3,CA
290991GODAR,2025-05-13,,surveillance,FIC3,CA
060800AUBER,2025-05-17,,surveillance,FIC4,SOF
080871FISCH,2025-05-19,,surveillance,FIC3,LCL
080373BOUTI,2025-05-08,,surveillance,FIC1,SOF
310764BOUSQ,2025-05-16,,surveillance,FIC3,CA
221073MAHE,2025-05-12,,surveillance,FIC4,SOF
221073MAHE,,2025-06-15,inscription,FIC1,LCL
271291MOULI,2025-05-20,,surveillance,FIC2,SOF
020183LÉVY,2025-05-16,,surveillance,FIC4,LCL
230269BOUCH,2025-05-09,,surveillance,FIC3,SOF
130171LEROY,2025-05-05,,surveillance,FIC2,SOF
300764BOUVI,2025-05-20,,surveillance,FIC1,CA
100872LEMAÎ,2025-05-05,,surveillance,FIC2,CA
100872LEMAÎ,,2025-06-09,inscription,FIC3,LCL
010703ANDRE,2025-05-12,,surveillance,FIC4,SOF
010203REYNA,2025-05-20,,surveillance,FIC3,CA
210669LÉVY,2025-05-07,,surveillance,FIC4,CA
210669LÉVY,,2025-06-08,inscription,FIC1,CA
020682FERNA,2025-05-08,,surveillance,FIC2,LCL
020682FERNA,,2025-06-09,inscription,FIC4,CA
110491BODIN,2025-05-20,,surveillance,FIC3,CA
110491BODIN,,2025-06-25,inscription,FIC4,LCL
020381DUBOI,2025-05-06,,surveillance,FIC3,CA
020285BRUNE,2025-05-09,,surveillance,FIC3,SOF
020285BRUNE,,2025-06-11,inscription,FIC3,LCL
261075PAUL,2025-05-07,,surveillance,FIC4,SOF
270300GAUTI,2025-05-13,,surveillance,FIC4,SOF
270300GAUTI,,2025-06-15,inscription,FIC3,LCL
220169RIBEI,2025-05-07,,surveillance,FIC1,CA
281078BOUSQ,2025-05-07,,surveillance,FIC2,CA
050979NOËL,2025-05-17,,surveillance,FIC2,LCL
211288BRUNE,2025-05-10,,surveillance,FIC1,CA
121201MUNOZ,2025-05-14,,surveillance,FIC1,SOF
010886MOREA,2025-05-15,,surveillance,FIC2,CA
090703BLOT,2025-05-16,,surveillance,FIC4,SOF
090703BLOT,,2025-06-18,inscription,FIC2,LCL
150501HUMBE,2025-05-14,,surveillance,FIC2,CA
150501HUMBE,,2025-06-15,inscription,FIC2,LCL
190700TOUSS,2025-05-09,,surveillance,FIC1,SOF
190700TOUSS,,2025-06-14,inscription,FIC4,SOF
300105SIMON,2025-05-14,,surveillance,FIC1,CA
230886BLOND,2025-05-13,,surveillance,FIC4,SOF
230886BLOND,,2025-06-16,inscription,FIC4,SOF
160383LOPEZ,2025-05-17,,surveillance,FIC1,SOF
160678BAILL,2025-05-17,,surveillance,FIC3,LCL
160678BAILL,,2025-06-21,inscription,FIC4,LCL
210566PAREN,2025-05-16,,surveillance,FIC2,LCL
210566PAREN,,2025-06-21,inscription,FIC1,CA
270379LAUNA,2025-05-18,,surveillance,FIC1,SOF
120496MEYER,2025-05-16,,surveillance,FIC1,CA
120496MEYER,,2025-06-22,inscription,FIC3,CA
051077ROYER,2025-05-13,,surveillance,FIC3,SOF
200203RIVIÈ,2025-05-19,,surveillance,FIC2,LCL
060180LEROY,2025-05-09,,surveillance,FIC4,SOF
171197HAMON,2025-05-16,,surveillance,FIC2,SOF
171197HAMON,,2025-06-19,inscription,FIC2,LCL
150285RICHA,2025-05-06,,surveillance,FIC3,CA
150285RICHA,,2025-06-07,inscription,FIC2,SOF
060103MOREN,2025-05-15,,surveillance,FIC1,SOF
060103MOREN,,2025-06-18,inscription,FIC1,LCL
030593SAUVA,2025-05-18,,surveillance,FIC1,CA
020880BERTR,2025-05-08,,surveillance,FIC3,LCL
020880BERTR,,2025-06-12,inscription,FIC4,CA
080876ALLAI,2025-05-11,,surveillance,FIC4,LCL
241288VALEN,2025-05-11,,surveillance,FIC1,CA
241288VALEN,,2025-06-11,inscription,FIC3,SOF
300382MORVA,2025-05-12,,surveillance,FIC2,CA
300382MORVA,,2025-06-14,inscription,FIC4,CA
250704MUNOZ,2025-05-05,,surveillance,FIC3,CA
250704MUNOZ,,2025-06-06,inscription,FIC1,LCL
190690DELMA,2025-05-20,,surveillance,FIC4,LCL
040205DIDIE,2025-05-15,,surveillance,FIC3,LCL
040205DIDIE,,2025-06-15,inscription,FIC1,CA
230394NEVEU,2025-05-20,,surveillance,FIC3,CA
270400BESNA,2025-05-15,,surveillance,FIC1,LCL
021067LOPEZ,2025-05-08,,surveillance,FIC3,SOF
021067LOPEZ,,2025-06-11,inscription,FIC4,SOF
150880TANGU,2025-05-07,,surveillance,FIC4,CA
150880TANGU,,2025-06-12,inscription,FIC1,CA
221093LÉGER,2025-05-13,,surveillance,FIC4,LCL
221093LÉGER,,2025-06-13,inscription,FIC4,LCL
040270ÉTIEN,2025-05-06,,surveillance,FIC1,CA
230978JULIE,2025-05-09,,surveillance,FIC2,CA
021298BIGOT,2025-05-10,,surveillance,FIC1,CA
021298BIGOT,,2025-06-15,inscription,FIC2,SOF
030265JOURD,2025-05-16,,surveillance,FIC4,CA
030265JOURD,,2025-06-19,inscription,FIC2,LCL
310579LETEL,2025-05-05,,surveillance,FIC2,SOF
030401BESNA,2025-05-19,,surveillance,FIC4,CA
030401BESNA,,2025-06-23,inscription,FIC3,SOF
170304MARTI,2025-05-15,,surveillance,FIC4,LCL
170304MARTI,,2025-06-18,inscription,FIC4,LCL
120883RAYNA,2025-05-06,,surveillance,FIC1,SOF
120883RAYNA,,2025-06-12,inscription,FIC4,CA
080491CHEVA,2025-05-10,,surveillance,FIC1,LCL
010170WAGNE,2025-05-20,,surveillance,FIC3,LCL
010171GOSSE,2025-05-17,,surveillance,FIC1,SOF
010171GOSSE,,2025-06-23,inscription,FIC3,SOF
240206DENIS,2025-05-15,,surveillance,FIC4,SOF
040570VALLE,2025-05-10,,surveillance,FIC3,CA
040570VALLE,,2025-06-12,inscription,FIC3,LCL
261177GEORG,2025-05-20,,surveillance,FIC2,SOF
021181ANTOI,2025-05-08,,surveillance,FIC3,LCL
021181ANTOI,,2025-06-09,inscription,FIC3,CA
290670JOUBE,2025-05-15,,surveillance,FIC4,LCL
290670JOUBE,,2025-06-15,inscription,FIC2,SOF
311266GOSSE,2025-05-13,,surveillance,FIC3,CA
311266GOSSE,,2025-06-17,inscription,FIC4,SOF
121090COHEN,2025-05-06,,surveillance,FIC4,LCL
121090COHEN,,2025-06-06,inscription,FIC3,SOF
120969BAILL,2025-05-16,,surveillance,FIC3,LCL
120969BAILL,,2025-06-19,inscription,FIC2,LCL
280179PRÉVO,2025-05-12,,surveillance,FIC1,CA
280179PRÉVO,,2025-06-17,inscription,FIC3,SOF
230875BAZIN,2025-05-06,,surveillance,FIC3,SOF
090391CHAUV,2025-05-20,,surveillance,FIC1,SOF
090391CHAUV,,2025-06-26,inscription,FIC4,CA
051274GIRAR,2025-05-05,,surveillance,FIC2,CA
180773FERRA,2025-05-13,,surveillance,FIC3,LCL
280589GUILL,2025-05-13,,surveillance,FIC4,LCL
280589GUILL,,2025-06-15,inscription,FIC4,SOF
271295LOUIS,2025-05-09,,surveillance,FIC4,LCL
271295LOUIS,,2025-06-12,inscription,FIC4,CA
100297GERMA,2025-05-06,,surveillance,FIC3,CA
141184LACRO,2025-05-20,,surveillance,FIC2,SOF
180998GILLE,2025-05-09,,surveillance,FIC2,CA
180998GILLE,,2025-06-11,inscription,FIC4,CA
080285LOMBA,2025-05-12,,surveillance,FIC4,SOF
080285LOMBA,,2025-06-17,inscription,FIC2,LCL
010589DUVAL,2025-05-16,,surveillance,FIC3,CA
140505LEBRU,2025-05-20,,surveillance,FIC3,LCL
140505LEBRU,,2025-06-20,inscription,FIC3,CA
200292CHRÉT,2025-05-10,,surveillance,FIC3,LCL
220303ROUSS,2025-05-05,,surveillance,FIC3,LCL
280878DUPRÉ,2025-05-20,,surveillance,FIC3,CA
130274ROCHE,2025-05-14,,surveillance,FIC3,LCL
130274ROCHE,,2025-06-16,inscription,FIC1,CA
290382BERTR,2025-05-05,,surveillance,FIC3,SOF
290382BERTR,,2025-06-11,inscription,FIC1,SOF
101067BRUNE,2025-05-14,,surveillance,FIC2,CA
101067BRUNE,,2025-06-16,inscription,FIC2,LCL
180368GIRAU,2025-05-12,,surveillance,FIC4,SOF
180368GIRAU,,2025-06-15,inscription,FIC4,CA
180379COSTE,2025-05-10,,surveillance,FIC2,LCL
180379COSTE,,2025-06-16,inscription,FIC2,SOF
250102BLOT,2025-05-12,,surveillance,FIC4,CA
270400LAMBE,2025-05-12,,surveillance,FIC1,SOF
170578CARON,2025-05-17,,surveillance,FIC2,LCL
290506CHEVA,2025-05-14,,surveillance,FIC1,CA
290506CHEVA,,2025-06-16,inscription,FIC4,SOF
170188BÈGUE,2025-05-09,,surveillance,FIC2,LCL
280865BRETO,2025-05-06,,surveillance,FIC2,SOF
280865BRETO,,2025-06-07,inscription,FIC2,CA
261097DURAN,2025-05-14,,surveillance,FIC3,SOF
261097DURAN,,2025-06-16,inscription,FIC1,CA
030700CORDI,2025-05-15,,surveillance,FIC4,LCL
030700CORDI,,2025-06-20,inscription,FIC1,SOF
171288VALET,2025-05-05,,surveillance,FIC3,SOF
171288VALET,,2025-06-05,inscription,FIC3,SOF
070205DENIS,2025-05-10,,surveillance,FIC2,CA
251073CHEVA,2025-05-06,,surveillance,FIC3,SOF
251073CHEVA,,2025-06-10,inscription,FIC4,LCL
031105NAVAR,2025-05-08,,surveillance,FIC4,CA
270480HEBER,2025-05-09,,surveillance,FIC1,LCL
270480HEBER,,2025-06-09,inscription,FIC4,CA
180578HOARA,2025-05-17,,surveillance,FIC4,SOF
161106SCHMI,2025-05-15,,surveillance,FIC1,SOF
020699MOREA,2025-05-09,,surveillance,FIC2,CA
020699MOREA,,2025-06-12,inscription,FIC2,SOF
031197ARNAU,2025-05-11,,surveillance,FIC3,CA
031197ARNAU,,2025-06-13,inscription,FIC4,LCL
030772LAROC,2025-05-12,,surveillance,FIC2,CA
260904LOPES,2025-05-12,,surveillance,FIC1,LCL
081000GAUTI,2025-05-14,,surveillance,FIC3,LCL
130404LE RO,2025-05-07,,surveillance,FIC4,SOF
030691WEISS,2025-05-10,,surveillance,FIC4,LCL
030691WEISS,,2025-06-16,inscription,FIC1,SOF
070202SEGUI,2025-05-11,,surveillance,FIC4,CA
070202SEGUI,,2025-06-11,inscription,FIC2,CA
161179JACOB,2025-05-18,,surveillance,FIC4,LCL
190987LEGRA,2025-05-19,,surveillance,FIC3,CA
190987LEGRA,,2025-06-22,inscription,FIC3,SOF
181168LE GA,2025-05-13,,surveillance,FIC4,CA
251075THIER,2025-05-18,,surveillance,FIC3,SOF
251075THIER,,2025-06-20,inscription,FIC4,SOF
070589BRIAN,2025-05-15,,surveillance,FIC1,SOF
070589BRIAN,,2025-06-21,inscription,FIC3,LCL
140896REGNI,2025-05-14,,surveillance,FIC4,CA
140896REGNI,,2025-06-14,inscription,FIC1,SOF
