id_client,date_consultation,origine_agence,canal
280290ROBER,2025-06-04,CA,Téléphone
250806BLANC,2025-06-04,SOF,Téléphone
011097MARIO,2025-06-04,SOF,Agence
290872TESSI,2025-06-04,SOF,Web
081103PEREI,2025-06-04,SOF,Web
151264EVRAR,2025-06-04,LCL,Web
101197LEROU,2025-06-04,CA,Agence
270566LAPOR,2025-06-04,CA,Web
080577BOURG,2025-06-04,LCL,Téléphone
201089ALLAI,2025-06-04,SOF,Web
150366LELIÈ,2025-06-04,LCL,Agence
301174SIMON,2025-06-04,SOF,Web
160191DIALL,2025-06-04,LCL,Téléphone
100184GAUTI,2025-06-04,LCL,Web
290798GARCI,2025-06-04,LCL,Web
260787ROY,2025-06-04,CA,Téléphone
110966BECKE,2025-06-04,CA,Web
030403LABBÉ,2025-06-04,LCL,Web
121279BERTH,2025-06-04,CA,Agence
260893NEVEU,2025-06-04,SOF,Web
091064ROUSS,2025-06-04,LCL,Web
120367KLEIN,2025-06-04,CA,Web
230698TEXIE,2025-06-04,LCL,Téléphone
130579DUPRÉ,2025-06-04,LCL,Agence
180994DESCH,2025-06-04,CA,Téléphone
140693LAPOR,2025-06-04,SOF,Agence
080388BONNE,2025-06-04,CA,Agence
100296BERNA,2025-06-04,CA,Web
180387BLOND,2025-06-04,CA,Téléphone
090791MACE,2025-06-04,CA,Agence
141089LOMBA,2025-06-04,SOF,Agence
010886LE GO,2025-06-04,CA,Téléphone
180466LEMON,2025-06-04,CA,Téléphone
091071RENAU,2025-06-04,CA,Agence
061098THIER,2025-06-04,LCL,Web
301105MARTI,2025-06-04,SOF,Téléphone
040299JACQU,2025-06-04,LCL,Web
251079GUILL,2025-06-04,CA,Web
170667NGUYE,2025-06-04,CA,Agence
161203GOMEZ,2025-06-04,LCL,Web
180979FAURE,2025-06-04,LCL,Téléphone
130165BRUNE,2025-06-04,SOF,Web
290503PASQU,2025-06-04,CA,Agence
200979DIALL,2025-06-04,SOF,Web
030879GOMEZ,2025-06-04,CA,Web
300876CHARP,2025-06-04,SOF,Web
130695HENRY,2025-06-04,CA,Téléphone
250990COLIN,2025-06-04,LCL,Agence
220394SIMON,2025-06-04,LCL,Téléphone
190194FAURE,2025-06-04,CA,Téléphone
