id_client,date_envoi_surveillance,date_envoi_inscription,type_courrier,fic_type,origine_agence
140671POIRI,2025-05-04,,surveillance,FIC2,SOF
140671POIRI,,2025-06-04,inscription,FIC3,LCL
300699COLLE,2025-05-05,,surveillance,FIC3,LCL
180689DAVID,2025-05-13,,surveillance,FIC1,LCL
010171BOULA,2025-05-01,,surveillance,FIC3,SOF
240376GILLE,2025-05-03,,surveillance,FIC3,CA
081169BLANC,2025-05-05,,surveillance,FIC3,LCL
151091SAUVA,2025-05-02,,surveillance,FIC1,LCL
151091SAUVA,,2025-06-03,inscription,FIC3,CA
030695BESNA,2025-05-05,,surveillance,FIC2,SOF
280574GEORG,2025-05-10,,surveillance,FIC1,SOF
280574GEORG,,2025-06-13,inscription,FIC4,SOF
210696NAVAR,2025-05-07,,surveillance,FIC2,LCL
030901CHARR,2025-05-08,,surveillance,FIC3,SOF
151275MARCH,2025-05-02,,surveillance,FIC3,LCL
050490BAZIN,2025-05-03,,surveillance,FIC4,CA
050490BAZIN,,2025-06-04,inscription,FIC3,CA
060896NAVAR,2025-05-12,,surveillance,FIC3,LCL
060896NAVAR,,2025-06-14,inscription,FIC3,SOF
250700PELTI,2025-05-14,,surveillance,FIC2,SOF
151001MULLE,2025-05-01,,surveillance,FIC1,SOF
130893CHAUV,2025-04-30,,surveillance,FIC4,CA
130893CHAUV,,2025-06-04,inscription,FIC2,CA
161004LAUNA,2025-05-02,,surveillance,FIC2,CA
161004LAUNA,,2025-06-04,inscription,FIC4,LCL
251182DESCH,2025-04-30,,surveillance,FIC1,SOF
251182DESCH,,2025-06-02,inscription,FIC3,LCL
030204VALLE,2025-05-06,,surveillance,FIC4,CA
190991VALLE,2025-04-30,,surveillance,FIC1,SOF
190991VALLE,,2025-06-02,inscription,FIC2,SOF
160368PRUVO,2025-05-09,,surveillance,FIC1,SOF
120272MARTI,2025-05-13,,surveillance,FIC3,LCL
120272MARTI,,2025-06-15,inscription,FIC2,SOF
190775BOUTI,2025-05-07,,surveillance,FIC1,SOF
230696DAVID,2025-05-11,,surveillance,FIC1,SOF
120180GUIBE,2025-05-10,,surveillance,FIC3,SOF
120180GUIBE,,2025-06-16,inscription,FIC1,SOF
260695BOUVE,2025-05-04,,surveillance,FIC4,LCL
260695BOUVE,,2025-06-08,inscription,FIC4,LCL
180471BODIN,2025-05-12,,surveillance,FIC3,CA
140368JOUBE,2025-05-01,,surveillance,FIC2,SOF
040867BUISS,2025-05-11,,surveillance,FIC4,SOF
040867BUISS,,2025-06-17,inscription,FIC3,CA
190894GOSSE,2025-05-15,,surveillance,FIC2,LCL
190894GOSSE,,2025-06-19,inscription,FIC2,CA
210283GRÉGO,2025-05-07,,surveillance,FIC1,SOF
210283GRÉGO,,2025-06-10,inscription,FIC2,LCL
251287KLEIN,2025-05-12,,surveillance,FIC2,SOF
231278ALBER,2025-05-07,,surveillance,FIC1,SOF
060369GUYOT,2025-05-11,,surveillance,FIC2,LCL
220779MARTY,2025-05-07,,surveillance,FIC1,CA
120588CHART,2025-05-03,,surveillance,FIC4,LCL
120588CHART,,2025-06-08,inscription,FIC3,SOF
020485MARTE,2025-05-15,,surveillance,FIC1,CA
020485MARTE,,2025-06-20,inscription,FIC2,SOF
230973VINCE,2025-05-08,,surveillance,FIC3,LCL
041169GÉRAR,2025-05-10,,surveillance,FIC3,CA
090278GAUTH,2025-05-08,,surveillance,FIC2,SOF
090278GAUTH,,2025-06-11,inscription,FIC3,LCL
181280AUBRY,2025-05-15,,surveillance,FIC3,LCL
181280AUBRY,,2025-06-15,inscription,FIC3,CA
071005SALMO,2025-05-02,,surveillance,FIC2,SOF
150981DIJOU,2025-05-02,,surveillance,FIC1,CA
150981DIJOU,,2025-06-03,inscription,FIC2,SOF
131299VASSE,2025-05-04,,surveillance,FIC4,SOF
131299VASSE,,2025-06-04,inscription,FIC2,SOF
051005COHEN,2025-05-12,,surveillance,FIC2,SOF
051005COHEN,,2025-06-16,inscription,FIC2,SOF
230701TEIXE,2025-05-03,,surveillance,FIC3,SOF
230701TEIXE,,2025-06-07,inscription,FIC3,LCL
310881TURPI,2025-05-15,,surveillance,FIC4,SOF
060574CARRE,2025-05-14,,surveillance,FIC2,CA
060574CARRE,,2025-06-14,inscription,FIC4,CA
181076MAURI,2025-05-12,,surveillance,FIC1,CA
250885TOUSS,2025-05-07,,surveillance,FIC2,SOF
030396COLLI,2025-05-08,,surveillance,FIC2,CA
030396COLLI,,2025-06-14,inscription,FIC3,SOF
070268ALVES,2025-05-13,,surveillance,FIC2,SOF
070268ALVES,,2025-06-15,inscription,FIC4,SOF
170401LEGEN,2025-05-12,,surveillance,FIC3,LCL
071298GROND,2025-05-14,,surveillance,FIC2,SOF
071298GROND,,2025-06-20,inscription,FIC4,CA
140485PRUVO,2025-04-30,,surveillance,FIC4,SOF
210794FERNA,2025-05-04,,surveillance,FIC2,CA
300883LACOM,2025-05-08,,surveillance,FIC3,CA
240867DELAU,2025-05-14,,surveillance,FIC3,CA
240867DELAU,,2025-06-19,inscription,FIC2,SOF
280902LECOQ,2025-05-09,,surveillance,FIC4,SOF
280902LECOQ,,2025-06-14,inscription,FIC1,CA
190601LESAG,2025-05-03,,surveillance,FIC2,CA
190601LESAG,,2025-06-07,inscription,FIC3,SOF
101170POTIE,2025-05-06,,surveillance,FIC4,LCL
050178LAPOR,2025-05-08,,surveillance,FIC1,SOF
051283LETEL,2025-05-07,,surveillance,FIC4,SOF
210687TORRE,2025-05-09,,surveillance,FIC2,LCL
210687TORRE,,2025-06-12,inscription,FIC4,SOF
250472JACQU,2025-05-04,,surveillance,FIC4,CA
260488DIAZ,2025-05-14,,surveillance,FIC2,LCL
260488DIAZ,,2025-06-20,inscription,FIC3,CA
150203BLANC,2025-05-05,,surveillance,FIC2,CA
150203BLANC,,2025-06-07,inscription,FIC4,SOF
200575DESCH,2025-05-13,,surveillance,FIC1,LCL
200575DESCH,,2025-06-16,inscription,FIC3,CA
220267DELMA,2025-05-11,,surveillance,FIC3,LCL
170287LEFÈV,2025-05-02,,surveillance,FIC1,CA
100982VALLE,2025-05-02,,surveillance,FIC3,LCL
100982VALLE,,2025-06-07,inscription,FIC4,CA
131085ROUSS,2025-05-10,,surveillance,FIC4,LCL
260887LEMON,2025-05-04,,surveillance,FIC3,LCL
070704PERRE,2025-05-03,,surveillance,FIC2,CA
300467NOËL,2025-05-04,,surveillance,FIC3,CA
